officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,variantCount,categoryPath,description,sourceImageUrl,imageCount,kzEvidence,status,sourcePageUrl
KAVO-PIEZOLED-SCALER,KaVo,KaVo Dental GmbH,PiezoLED Scaler,1.007.4024,1.007.4024 | 1.007.4026 | 1.007.4028 | 1.007.4008,4,,"Whether it’s used for prophylaxis or cleaning implants, KaVo’s PiezoLED ultrasonic scaler boasts a multitude of potential applications.",https://www.kavo.com/sites/default/files/styles/og_image/public/mq_acquia_dam/PiezoLED-Header-dark_16-7-1920px.jpg?itok=0Ge6-soH,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.kavo.com/en/products/instruments/prophylaxis/piezoled-scaler
KAVO-MASTERTORQUE,KaVo,KaVo Dental GmbH,MASTERtorque M9000 & M8700,1.008.7900,1.008.7900 | 1.008.5400 | 3.001.0000 | 3.001.0600,4,,Enjoy outstanding comfort and relaxed working. See our impressive KaVo MASTERtorque models for yourself.,https://www.kavo.com/sites/default/files/styles/og_image/public/mq_acquia_dam/MASTERtorque-M9000-L_1-007-7100-black-cutout-3840px-2160px.png?itok=BsVJ_EPm,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.kavo.com/en/products/instruments/turbines/mastertorque
KAVO-SONICFLEX-2003-L-QUICK-2008-L,KaVo,KaVo Dental GmbH,SONICflex 2003 & quick 2008,1.000.4887,1.000.4887 | 0.411.0892 | 0.571.5171 | 1.005.8949 | 0.571.5181 | 1.005.8950 | 0.571.5191 | 1.005.3951 | 0.571.5371 | 1.006.1953 | 1.000.4983 | 1.005.9328 | 0.571.0401 | 1.006.1982 | 0.571.7402 | 1.006.1934 | 0.571.7412 | 1.006.1935 | 0.571.7422 | 1.006.1936 | 0.571.3712 | 1.006.2020 | 0.571.5621 | 1.006.1957 | 0.571.5631 | 1.006.1959 | 0.571.5641 | 1.006.1961 | 0.571.5651 | 1.006.1963 | 1.006.2045 | 1.007.1142 | 1.000.8323 | 1.007.1506 | 0.571.6741 | 1.006.1965 | 0.571.6731 | 1.006.1967 | 0.571.6811 | 1.006.1969 | 0.571.6801 | 1.006.1971 | 0.571.6831 | 1.006.1973 | 0.571.6821 | 1.006.1975 | 0.571.0421 | 1.006.2023 | 0.571.7392 | 1.006.1988 | 0.571.7382 | 1.006.1990 | 0.571.0391 | 1.000.7105 | 1.006.1980 | 1.000.7167 | 1.006.1981 | 1.000.7362 | 1.006.2002 | 1.000.7363 | 1.006.2004 | 0.571.0341 | 1.006.2029 | 1.002.1988 | 1.006.2024,65,,The KaVo SONICflex airscaler boasts impressive performance in everyday prophylaxis and a variety of other indications.,https://www.kavo.com/sites/default/files/styles/og_image/public/mq_acquia_dam/SONICflex-Header_Close-up-top_4000px.jpg?itok=PAPzglCC,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.kavo.com/en/products/instruments/scalers-tips/sonicflex-2003-l-quick-2008-l
KAVO-EXPERTTORQUE-E680-MINI-E677-L,KaVo,KaVo Dental GmbH,EXPERTtorque 680 & 677,1.006.8700,1.006.8700 | 1.006.9000 | 1.007.3600,3,,KaVo EXPERTtorque models are powerful and reliable turbines with impressive features for continuous daily use.,https://www.kavo.com/sites/default/files/styles/og_image/public/mq_acquia_dam/EXPERTtorque-LUX-E680-L_1-006-8700-hb-v01-c-16-7-1920px-840px.jpg?itok=9gp7b0kt,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.kavo.com/en/products/instruments/turbines/experttorque-e680-mini-e677-l
KAVO-MASTERSURG,KaVo,KaVo Dental GmbH,MASTERsurg,,,0,,Even long-experienced dentists who are accustomed to convenience are wowed by the features of the KaVo MASTERsurg LUX Wireless.,https://www.kavo.com/sites/default/files/styles/og_image/public/mq_acquia_dam/MASTERsurg-Display-V1-Title_background_3000px.jpg?itok=M9MBpGqP,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.kavo.com/en/products/instruments/surgery/mastersurg
KAVO-RONDOFLEX-PLUS-360,KaVo,KaVo Dental GmbH,RONDOflex plus 360,1.002.6251,1.002.6251 | 1.002.9176 | 1.002.6250 | 1.003.1235 | 1.003.1236 | 1.000.2678 | 0.573.6052 | 0.573.0321 | 3.005.4213 | 3.006.4667 | 1.000.9006 | 1.002.9179 | 1.002.9182 | 0.573.6072 | 0.200.6019 | 1.002.9920,16,,The modern air abrasion system or mini sandblaster & spray water for gentle and virtually painless material removal.,https://www.kavo.com/sites/default/files/styles/og_image/public/mq_acquia_dam/RONDOflex-plus-360_Header-dark_16-7-3840px.jpg?itok=H-u1fhC5,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.kavo.com/en/products/instruments/restoration/rondoflex-plus-360
KAVO-CLEANSPRAY-DRYSPRAY,KaVo,KaVo Dental GmbH,CLEANspray & DRYspray,1.007.0573,1.007.0573 | 1.007.0579 | 1.007.0580 | 1.007.1776 | 1.007.1775 | 1.007.3350,6,,"Increased demands on hygienic preparation have led to the need for internal cleaning methods, which must have validation of their efficiency. For this validated, intensive internal cleaning, KaVo offers very economical solutions for manual use.",https://www.kavo.com/sites/default/files/styles/og_image/public/mq_acquia_dam/Header-CLEANspray-DRYspray-Hygiene-dark_V2-2000px.jpg?itok=41Q3GxOX,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.kavo.com/en/products/instruments/maintenance-hygiene/cleanspray-dryspray
KAVO-KAVO-SPRAY,KaVo,KaVo Dental GmbH,KaVo Spray,0.411.9640,0.411.9640 | 1.011.5721 | 0.411.9911 | 1.005.3154 | 0.411.9921 | 1.005.8436 | 1.005.8365,7,,"Universal care for all KaVo contra-angles, handpieces, turbines, heads and air motors",https://www.kavo.com/sites/default/files/styles/og_image/public/2026-06/kavo-spray_header-light_16-7-3840px_kopie.png?itok=zsfq-yJk,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.kavo.com/en/products/instruments/maintenance-hygiene/kavo-spray
KAVO-QUATTROCARE-PLUS,KaVo,KaVo Dental GmbH,QUATTROcare PLUS,1.005.4525,1.005.4525 | 1.011.5720 | 0.411.7603 | 0.411.7981 | 0.411.7991 | 0.411.7941 | 1.005.1707 | 1.000.1003 | 1.000.7156 | 1.001.7860 | 1.001.7888 | 1.000.7403 | 1.000.7585 | 1.000.8459 | 1.000.8786 | 1.000.8858 | 1.002.1217 | 1.000.6063 | 1.003.1253,19,,"KaVo QUATTROcare PLUS, including collet care, is probably the most efficient instrument preparation method available for dental practices. The KaVo QUATTROcare PLUS care system is not only incomparably thorough and economical, it is also easy to use. Perfect for any instruments that are used on a daily basis in your dental practice.",https://www.kavo.com/sites/default/files/styles/og_image/public/mq_acquia_dam/Header-QUATTROcare-Spray-Hygiene-dark_2000px.jpg?itok=OZ2iMsqu,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.kavo.com/en/products/instruments/maintenance-hygiene/quattrocare-plus
KAVO-MASTERMATIC,KaVo,KaVo Dental GmbH,MASTERmatic,1.009.3630,1.009.3630 | 1.009.3640 | 1.014.0280 | 1.009.3610 | 1.009.3620 | 1.009.3580 | 1.009.3570,7,,KaVo MASTERmatic handpieces and contra-angles – the master of KaVo instruments when it comes to performance and comfort.,https://www.kavo.com/sites/default/files/styles/og_image/public/mq_acquia_dam/MASTERmatic-M25-L_1-009-3630-black-cutout-3840px-2160px.png?itok=fquSaC7h,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.kavo.com/en/products/instruments/handpieces-contra-angles/mastermatic
KAVO-KAVOLUX-540-LED,KaVo,KaVo Dental GmbH,KaVoLUX 540 LED,,,0,,KaVoLUX 540 LED – perfect natural light and illumination for any treatment.,https://www.kavo.com/sites/default/files/styles/og_image/public/mq_acquia_dam/KaVoLUX-540-LED_Header-dark_16-7-3840px.jpg?itok=-kkIY7y4,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.kavo.com/en/products/practice-equipment/operating-lights/kavolux-540-led
KAVO-K-ERGOGRIP,KaVo,KaVo Dental GmbH,K-ERGOgrip,,,0,,"Featuring ergonomic comfort and a lightweight design, the KaVo K-ERGOgrip laboratory handpiece promotes a working posture that’s especially gentle on your joints.",https://www.kavo.com/sites/default/files/styles/og_image/public/mq_acquia_dam/K-ERGOgrip_Header-light_16-7-3840px.jpg?itok=MrMofBP-,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.kavo.com/en/products/laboratory-equipment/laboratory-handpieces-controllers/k-ergogrip
KAVO-STUDY-MODELS-SURGERY-AND-IMPLANTOLOGY,KaVo,KaVo Dental GmbH,Study Models Prosthetics,,,0,,"KaVo tooth models for dental surgery and implantology are anatomically precise, complete with realistic detailing.",https://www.kavo.com/sites/default/files/styles/og_image/public/mq_acquia_dam/Tooth-Models_Header-dark_16-7-3840px.jpg?itok=vCJZKUxX,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.kavo.com/en/products/dental-education/teeth-study-models/study-models-surgery-and-implantology
KAVO-DIAGNOCAMTM-VISION-FULL-HD,KaVo,KaVo Dental GmbH,DIAGNOcam Vision Full HD,1.011.1213,1.011.1213 | 1.013.1500 | 1.013.5708 | 1.013.5712 | 1.013.5713 | 1.013.5711 | 1.013.5709 | 1.013.5715 | 1.013.0400 | 1.013.4952,10,,KaVo DIAGNOcam Vision Full HD offers three diagnostic recordings in full HD resolution with just one click.,https://www.kavo.com/sites/default/files/styles/og_image/public/mq_acquia_dam/DIAGNOcam-Vision-Full-HD_Header-dark-V4_16-7-3840px.jpg?itok=5F20hbCo,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.kavo.com/en/products/practice-equipment/patient-communication/diagnocamtm-vision-full-hd
KAVO-POLISHING-INSTRUMENTS,KaVo,KaVo Dental GmbH,Polishing instruments,,,0,,,https://www.kavo.com/sites/default/files/styles/og_image/public/mq_acquia_dam/SMARTmatic-Prophylaxe-und-Endodontie-S53_1-011-6810-hb-v01-c-16-7-1920px-840px.jpg?itok=j1HII6dx,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.kavo.com/en/products/instruments/prophylaxis/polishing-instruments
KAVO-MULTIFLEX,KaVo,KaVo Dental GmbH,MULTIflex,1.007.3201,1.007.3201 | 0.553.1390 | 0.553.1600 | 0.553.1210,4,,Get multi-flexible with KaVo: quick and easy instrument changing saves you precious time and money every day.,https://www.kavo.com/sites/default/files/styles/og_image/public/mq_acquia_dam/MULTIflex-LUX-465-LRN_0-553-1550-black-cutout-3840px-2160px.png?itok=n37UNc2E,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.kavo.com/en/products/instruments/couplings-motors/multiflex
KAVO-MULTI-LED,KaVo,KaVo Dental GmbH,MULTI LED,1.007.5372,1.007.5372,1,,Impressive brightness and powerful illumination for your preparation area – all thanks to KaVo MULTI LED.,https://www.kavo.com/sites/default/files/styles/og_image/public/mq_acquia_dam/multiflex-led.jpg?itok=v9SfmFaO,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.kavo.com/en/products/instruments/couplings-motors/multi-led
KAVO-PHYSIO-EVO-EVO-F,KaVo,KaVo Dental GmbH,PHYSIO Evo / Evo F,,,0,,KaVo PHYSIO Evo: the KaVo work chair for superb ergonomics and excellent treatment comfort.,https://www.kavo.com/sites/default/files/styles/og_image/public/2025-03/header-physio-2025_16_7_0.jpg?itok=LNhRIh_g,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.kavo.com/en/products/practice-equipment/dental-stools/physio-evo-evo-f
KAVO-RELAXLINE-UPHOLSTERY,KaVo,KaVo Dental GmbH,RELAXline soft upholstery,,,0,,KaVo RELAXline upholstery boasts an exclusive design and outstanding comfort when lying down.,https://www.kavo.com/sites/default/files/styles/og_image/public/mq_acquia_dam/upholsteryr-E70-coffee-total_3000px.jpg?itok=c41-FL0i,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.kavo.com/en/products/practice-equipment/options-accessories/relaxline-upholstery
KAVO-DESIGN-EDITION-STYLE,KaVo,KaVo Dental GmbH,Design Edition Style,,,0,,"KaVo Style - Exclusively for the ESTETICA E70/E80 Vision. The all-round matt finish, which is unusual for treatment units, in combination with a discreetly-structured film in elegant grey on the front of the supply element is a highlight. In harmony with the well-known KaVo suspended chair, an innovative, timeless and stylish aesthetic emerges. The subtle ""style"" branding emphasises the premise with sophistication and discretion.",https://www.kavo.com/sites/default/files/styles/og_image/public/mq_acquia_dam/STYLE_Detail-Graphite-Rauml_1000x650px.jpg?itok=Rs8N9oiB,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.kavo.com/en/products/practice-equipment/dental-units/design-edition-style
KAVO-MICROMOTORS-MOTOR-CONTROL,KaVo,KaVo Dental GmbH,Micromotors & motor control,1.007.0150,1.007.0150 | 1.001.8776 | 0.535.5210 | 0.535.5200 | 0.535.5250,5,,"Whether electric or air-operated, all KaVo Micromotors boast the reliability we’ve come to expect from KaVo, not to mention a consistently great performance across the entire speed range.",https://www.kavo.com/sites/default/files/styles/og_image/public/mq_acquia_dam/Motor-INTRA-K-LUX-703-LED_1-007-0150-black-cutout-3840px-2160px.png?itok=isfWekFu,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.kavo.com/en/products/instruments/couplings-motors/micromotors-motor-control
KAVO-DEKASEPTOL-GEL,KaVo,KaVo Dental GmbH,DEKASEPTOL Gel,,,0,,KaVo DEKASEPTOL Gel is the go-to cleaning and disinfection gel for all dental extraction units.,https://www.kavo.com/sites/default/files/styles/og_image/public/mq_acquia_dam/Header_Website_DEKASEPTOL.jpg?itok=2EErjRtV,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://www.kavo.com/en/products/practice-equipment/hygiene/dekaseptol-gel
