externalId,name,supplierSku,gtin,brand,manufacturer,unit,description,category,variantLabel,imageUrl,sourceUrl,priceMinor,currency,quantityOnHand,warehouse,leadTimeDays,dataPolicy,supplierKey,supplierName
"cosmex-kz-7adccc80f6258a3e","Cosmex Heat Defense REPAIR Спрей-термозащита для поврежденных волос 250 мл","","","COSMEX","Cosmex","","Несмываемый крем-спрей Cosmex Repair — профессиональный уход для сильно повреждённых, сухих и секущихся волос. Объём 250 мл.","professional-cosmetics","","","https://cosmex.kz/product/cosmex-heat-defense-repair-sprey-termozashchita-dlya-povrezhdennyh-volos-250-ml-42991cb5-635b-11f1-0a80-08090091d093","","","","","","CANONICAL_DISCOVERY_ONLY_NO_PRICE_OR_STOCK","cosmex-kz","COSMEX"
"cosmex-kz-1441fd906a7fbfaf","Cosmex Heat Defense COLOR Спрей-термозащита для окрашенных волос 250 мл","","","COSMEX","Cosmex","","Несмываемый крем-спрей Cosmex Color Expert — профессиональный уход для окрашенных волос. Объём 250 мл.","professional-cosmetics","","","https://cosmex.kz/product/cosmex-heat-defense-color-sprey-termozashchita-dlya-okrashennyh-volos-250-ml-4352306e-635b-11f1-0a80-007b008f6054","","","","","","CANONICAL_DISCOVERY_ONLY_NO_PRICE_OR_STOCK","cosmex-kz","COSMEX"
"cosmex-kz-470554903e6fe43d","Cosmex Heat Defense SMOOTH Спрей-термозащита анти-фриз 250 мл","","","COSMEX","Cosmex","","Несмываемый крем-спрей Cosmex Leave-in 17в1 — профессиональный уход для всех типов волос как несмываемый многофункциональный уход и термозащита. Объём 250 мл.","professional-cosmetics","","","https://cosmex.kz/product/cosmex-heat-defense-smooth-sprey-termozashchita-anti-friz-250-ml-440a4fc8-635b-11f1-0a80-01a50090c863","","","","","","CANONICAL_DISCOVERY_ONLY_NO_PRICE_OR_STOCK","cosmex-kz","COSMEX"
"cosmex-kz-7d8a49997119cff4","Cosmex OverDose Anti-Hair-Loss Шампунь против выпадения 250 мл","","","COSMEX","Cosmex","","Cosmex OverDose OverRoot — трихологический шампунь против выпадения с Capixyl, AnaGain, кофеином и биотином. Плотность и сила волос. Бессульфатная мягкая база. 250 мл.","professional-cosmetics","","","https://cosmex.kz/product/cosmex-overdose-anti-hair-loss-shampun-protiv-vypadeniya-250-ml-5824dc1c-62b2-11f1-0a80-0ba6006f009d","","","","","","CANONICAL_DISCOVERY_ONLY_NO_PRICE_OR_STOCK","cosmex-kz","COSMEX"
"cosmex-kz-63b4809cb071be28","Cosmex Hair Serum SHINE & SMOOTH Сыворотка для волос блеск и гладкость 50 мл","","","COSMEX","Cosmex","","Cosmex Hair Serum SHINE & SMOOTH Сыворотка для волос блеск и гладкость 50 мл","professional-cosmetics","","","https://cosmex.kz/product/cosmex-hair-serum-shine-smooth-syvorotka-dlya-volos-blesk-i-gladkost-50-ml-60b94c5e-6442-11f1-0a80-15f300048c67","","","","","","CANONICAL_DISCOVERY_ONLY_NO_PRICE_OR_STOCK","cosmex-kz","COSMEX"
"cosmex-kz-1f6ab4b242a73232","Cosmex Hair Serum REPAIR ENDS Сыворотка для волос для секущихся кончиков 50 мл","","","COSMEX","Cosmex","","Cosmex Hair Serum REPAIR ENDS Сыворотка для волос для секущихся кончиков 50 мл","professional-cosmetics","","","https://cosmex.kz/product/cosmex-hair-serum-repair-ends-syvorotka-dlya-volos-dlya-sekushchihsya-konchikov-50-ml-615621d1-6442-11f1-0a80-0bc500040b03","","","","","","CANONICAL_DISCOVERY_ONLY_NO_PRICE_OR_STOCK","cosmex-kz","COSMEX"
"cosmex-kz-3dbbf12677bee829","Cosmex Hair Serum LIGHT Сыворотка для волос для тонких волос 50 мл","","","COSMEX","Cosmex","","Cosmex Hair Serum LIGHT Сыворотка для волос для тонких волос 50 мл","professional-cosmetics","","","https://cosmex.kz/product/cosmex-hair-serum-light-syvorotka-dlya-volos-dlya-tonkih-volos-50-ml-61e8a51b-6442-11f1-0a80-1a4f00048da5","","","","","","CANONICAL_DISCOVERY_ONLY_NO_PRICE_OR_STOCK","cosmex-kz","COSMEX"
"cosmex-kz-925639d1f7323089","Cosmex OverDose Anti-Hair-Loss Бальзам против выпадения 250 мл","","","COSMEX","Cosmex","","Cosmex OverDose OverRoot — бальзам против выпадения, для плотности и силы с активами: Capixyl, AnaGain, кофеин, биотин. Технология RootCharge™. 250 мл.","professional-cosmetics","","","https://cosmex.kz/product/cosmex-overdose-anti-hair-loss-bal-zam-protiv-vypadeniya-250-ml-d1852394-62b3-11f1-0a80-007b006d5f31","","","","","","CANONICAL_DISCOVERY_ONLY_NO_PRICE_OR_STOCK","cosmex-kz","COSMEX"
"cosmex-kz-091d5dfa49c0b0d0","Cosmex OverDose OverRoot Маска для волос против выпадения, для плотности и силы RootCharge™ 250 мл","","","COSMEX","Cosmex","","Cosmex OverDose OverRoot — маска для волос против выпадения, для плотности и силы с активами: Capixyl, AnaGain, кофеин, биотин. Технология RootCharge™. 250 мл.","professional-cosmetics","","","https://cosmex.kz/product/cosmex-overdose-overroot-maska-dlya-volos-protiv-vypadeniya-dlya-plotnosti-i-sily-rootcharge-250-ml-d1d97fd4-62b3-11f1-0a80-0fc7006ecf43","","","","","","CANONICAL_DISCOVERY_ONLY_NO_PRICE_OR_STOCK","cosmex-kz","COSMEX"
"cosmex-kz-44eb30d493b7a459","Cosmex OverDose Anti-Dandruff Шампунь против перхоти 250 мл","","","COSMEX","Cosmex","","Cosmex OverDose OverScalp — шампунь против перхоти, баланс кожи головы с активами: пироктон оламин, салициловая кислота, цинк PCA. Технология SebaBalance™. 250 мл.","professional-cosmetics","","","https://cosmex.kz/product/cosmex-overdose-anti-dandruff-shampun-protiv-perhoti-250-ml-d23d4c2c-62b3-11f1-0a80-1a46006e55d4","","","","","","CANONICAL_DISCOVERY_ONLY_NO_PRICE_OR_STOCK","cosmex-kz","COSMEX"
