officialProductId,listingProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,variantCount,categoryPath,description,sourceImageUrl,imageCount,kzEvidence,status,sourcePageUrl
DENTI-KZ-AS-US-17718,17718,AS-US,,Маска для губ,,,3,individualnyy ukhod / kosmetika / maska dlya gub,"Ночная маска для губ AS:US Lip Mask Верните вашим губам мягкость и здоровый вид всего за одну ночь! AS:US Lip Mask — это интенсивное восстанавливающее средство из Южной Кореи, созданное специально для борьбы с сухостью, шелушениями и трещинками. Преимущества: Глубокое восстановление: Пока вы спите, активная формула маски глубоко питает нежную кожу губ, заживляя микроповреждения. Пролонгированное увлажнение: Создает защитный барьер, который удерживает влагу и защищает от обветривания. Комфортная текстура: Маска обладает густой, насыщенной консистенцией, которая не растекается и не оставляет неприятной липкости. Универсальность: Можно использовать как маску на ночь или как защитный бальзам в течение дня. Доступные ароматы: Berry (Ягода) — сладкий ягодный аромат Apple-Lime (Яблоко и Лайм) — освежающий микс для придания губам гладкости и упругости. Citron (Цитрон) — бодрящий цитрусовый аромат, богатый витаминами для сияния кожи. Способ применения: Перед сном нанесите плотный слой маски на чистую, сухую кожу губ с помощью аппликатора или подушечек пальцев. Утром аккуратно удалите остатки салфеткой. Для экстренного увлажнения используйте тонким слоем в течение дня.",https://denti.kz/upload/dev2fun.imagecompress/webp/iblock/225/q9s7j47cem359hj88nlp7z3amksxy1ta.webp,1,EXACT_KZ_SPECIALIZED_MARKETPLACE_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://denti.kz/orders/blank_zakaza/individualnyy-ukhod/kosmetika/maska-dlya-gub/
DENTI-KZ-BIOMATERIALS-KOREA-15927,15927,Biomaterials Korea,,Винт для фиксации опорных пластин OSS-T2005S (10 шт),,,1,instrumenty_3 / khirurgiya_1 / vint dlya fiksatsii opornykh plastin oss t2005s 10 sht,"Костный винт для фиксации опорных пластин (Anchor Plate Screw) Костный винт предназначен для надёжной фиксации опорных мини-пластин при ортодонтическом лечении. Обеспечивает стабильную опору для силовой тяги, сохраняет объём костной ткани и мягких тканей вокруг конструкции. Используется с опорными пластинами системы Anchor Plate. Подходит для многократной стерилизации. Доступные размеры (диаметр × длина): OSS-T2004S – Ø2.0 × 4.0 мм OSS-T2005S – Ø2.0 × 5.0 мм OSS-T2006S – Ø2.0 × 6.0 мм",https://denti.kz/upload/dev2fun.imagecompress/webp/iblock/f40/x05wpfnx214weap1xtjidabm9cv3lmyg.webp,1,EXACT_KZ_SPECIALIZED_MARKETPLACE_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://denti.kz/orders/blank_zakaza/instrumenty_3/khirurgiya_1/vint-dlya-fiksatsii-opornykh-plastin-oss-t2005s-10-sht/
DENTI-KZ-BIOMATERIALS-KOREA-15937,15937,Biomaterials Korea,,Винт BMK BioMaterials,,,12,instrumenty_3 / ortodontiya / vint bmk biomaterials,"Ортодонтический винт OAS Ортодонтический винт временной опоры для надёжной фиксации тяги и дуг в различных клинических ситуациях. Самонарезающая резьба обеспечивает стабильное удержание в кортикальной кости и минимальную травму при установке. Размеры: диаметр от Ø1,2 до Ø1,8 мм, длина от 6 до 17 мм — позволяет подобрать оптимальный винт под анатомию пациента и зону установки. Преимущества: - эстетика Минимизирует повреждение корней и кости Малое выступание в полости рта – высокая эстетическая удовлетворённость пациента - надёжность Тонкий, но прочный корпус с высокой устойчивостью к кручению Высокоточная механическая обработка Острый, но прочный самосверлящий кончик для уверенной фиксации - комфорт Лёгкая, безопасная и точная установка Низкий, простой профиль головки снижает риск контаминации и ощущение инородного тела в полости рта",https://denti.kz/upload/dev2fun.imagecompress/webp/iblock/e8f/222241wz12vj6lp0ocbqk83dkq7awhk0.webp,1,EXACT_KZ_SPECIALIZED_MARKETPLACE_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://denti.kz/orders/blank_zakaza/instrumenty_3/ortodontiya/vint-bmk-biomaterials/
DENTI-KZ-BIOMATERIALS-KOREA-16006,16006,Biomaterials Korea,,Винт Mplant,,,1,instrumenty_3 / khirurgiya_1 / vint mplant,"Винт Mplant - это мини-винты с двойной резьбой, обеспечивающие особенно прочную и стабильную фиксацию. Самосверлящая конструкция облегчает установку, а коническая форма тела мини-винта гарантирует надежное удержание в кости. Преимущества MPlant: допускает установку под наклоном, что дает врачу больше свободы выбора точки и угла введения, особенно в анатомически сложных зонах. MPlant оптимально подходит для костной ткани с низкой плотностью и сниженным качеством, а также может использоваться как «спасательный» вариант при неудаче с традиционными мини-винтами. Диаметр/длина: Mplant-L1 Ø 1.3 x 6.5 Mplant-L2 Ø 1.3 x 7.5",https://denti.kz/upload/dev2fun.imagecompress/webp/iblock/850/hi1zz6r4fpndzwwdmtjru0eyjqvhcs5k.webp,1,EXACT_KZ_SPECIALIZED_MARKETPLACE_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://denti.kz/orders/blank_zakaza/instrumenty_3/khirurgiya_1/vint-mplant/
DENTI-KZ-BIOMATERIALS-KOREA-15972,15972,Biomaterials Korea,,Ключ трещеточный RW Ratchet Wrench,,,1,instrumenty_3 / khirurgiya_1 / klyuch treshchetochnyy rw ratchet wrench,"Ключ трещеточный RW Ratchet Wrench - ключ для установки и удаления костных винтов. Обеспечивает удобную работу в ограниченном пространстве полости рта, позволяет прикладывать контролируемое усилие без лишнего напряжения кисти. Реверсивный механизм упрощает переключение между вкручиванием и выкручиванием. Изготовлен из прочной медицинской нержавеющей стали, пригоден для многократной стерилизации.",https://denti.kz/upload/dev2fun.imagecompress/webp/iblock/7ea/esl2bsjc128a2it23jucghudn2vk0guv.webp,1,EXACT_KZ_SPECIALIZED_MARKETPLACE_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://denti.kz/orders/blank_zakaza/instrumenty_3/khirurgiya_1/klyuch-treshchetochnyy-rw-ratchet-wrench/
DENTI-KZ-BIOMATERIALS-KOREA-15949,15949,Biomaterials Korea,,Комплект MSEII,,,6,instrumenty_3 / ortodontiya / komplekt mseii,"Комплект MSEII - система для скелетного небного расширения верхней челюсти с опорой на мини-винты. Обеспечивает контролируемое и предсказуемое расширение без избыточной нагрузки на зубы, подходит для подростков и взрослых пациентов. В комплект входят: небный расширитель (доступен в 3 размерах 8мм, 10мм, 12мм), 4 мини-винта (доступны в размерах: ∅1,5мм*11мм, ∅1,5мм*13мм, ∅1,8мм*11мм, ∅1,8мм*13мм), активационный ключ, страховочный шнур) Преимущества: 1. Эффективное скелетное расширение без лишней нагрузки на зубы 2. Подходит для подростков и взрослых пациентов 3. Прогнозируемый результат и стабильная фиксация 4. Сокращает время клинической работы врача 5. Удобная комплектация всех основных компонентов в одном наборе",https://denti.kz/upload/dev2fun.imagecompress/webp/iblock/aee/p4tk0b9efkin8ro9ddgt0mcia9zof28e.webp,1,EXACT_KZ_SPECIALIZED_MARKETPLACE_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://denti.kz/orders/blank_zakaza/instrumenty_3/ortodontiya/komplekt-mseii/
DENTI-KZ-BIOMATERIALS-KOREA-15909,15909,Biomaterials Korea,,Костный винт для НКР,,,16,khirurgiya / napravlennaya kostnaya regeneratsiya / kostnyy vint dlya nkr,"Костный винт для НКР Костные винты обеспечивают надежную и стабильную фиксацию костной пластины, мембраны, ортодонтических опорных пластин. Выпускаются в двух вариантах: Самосверлящий винт – для быстрой установки без предварительного сверления в кости нормальной плотности. Самонарезающий винт – для установки в предварительно подготовленное отверстие, удобен при плотной кортикальной кости и контролируемой фиксации. Изготовлены из биосовместимого медицинского сплава, обеспечивают стабильную фиксацию и лёгкое удаление при необходимости. Доступные размеры: Диаметр Ø1,2 мм – длина 4, 5, 6 мм Диаметр Ø1,5 мм – длина 4, 5, 6, 7 мм Все размеры доступны как в самосверлящем, так и в самонарезающем исполнении.",https://denti.kz/upload/dev2fun.imagecompress/webp/iblock/ba9/y81ud2lcjk1so40klxnxm5absht3awgu.webp,1,EXACT_KZ_SPECIALIZED_MARKETPLACE_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://denti.kz/orders/blank_zakaza/khirurgiya/napravlennaya-kostnaya-regeneratsiya/kostnyy-vint-dlya-nkr/
DENTI-KZ-BIOMATERIALS-KOREA-15977,15977,Biomaterials Korea,,"Костный фиксирующий пин, длина 3.5мм BT-T1035 (10шт)",,,1,khirurgiya / napravlennaya kostnaya regeneratsiya / kostnyy fiksiruyushchiy pin dlina 3 5mm bt t1035 10sht,"Костный фиксирующий пин для НКР (Bone Tack) длина 3.5мм BT-T1035 (10шт) Костный пин предназначен для надёжной фиксации барьерных мембран и коллагеновых материалов при направленной костной регенерации (НКР). За счет ступенчатого дизайна, костный пин менее подвержен выпадению, а широкая ""шляпка"" обеспечивает стабильную и надежную фиксацию. Конический кончик пина для лёгкого вбивания. Доступен в размере ∅1 мм*3,5мм",https://denti.kz/upload/dev2fun.imagecompress/webp/iblock/f5a/za47ldi9208yn5xv961xqr5tucbfon5p.webp,1,EXACT_KZ_SPECIALIZED_MARKETPLACE_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://denti.kz/orders/blank_zakaza/khirurgiya/napravlennaya-kostnaya-regeneratsiya/kostnyy-fiksiruyushchiy-pin-dlina-3-5mm-bt-t1035-10sht/
DENTI-KZ-BIOMATERIALS-KOREA-15980,15980,Biomaterials Korea,,Модуль для стерилизации BMK BioMaterials,,,1,instrumenty_3 / khirurgiya_1 / modul dlya sterilizatsii bmk biomaterials,"Модуль подходит для организации и стерилизации инструмента. Стерилизационный модуль для НКР - модуль-кассета для хранения и стерилизации инструментов и пинов/винтов, используемых при направленной костной регенерации. Позволяет удобно разложить костные винты, пины, рукоятки, сверла и фиксаторы, исключая их потерю и смешивание. Имеет перфорацию для эффективной промывки и автоклавной стерилизации. Компактный размер удобно помещается в стерилизационную корзину и на хирургический стол, упрощая подготовку и работу хирурга во время операций НКР.",https://denti.kz/upload/dev2fun.imagecompress/webp/iblock/7c7/yixkitrr3pelu4dxtw826hgtzpw3rrth.webp,1,EXACT_KZ_SPECIALIZED_MARKETPLACE_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://denti.kz/orders/blank_zakaza/instrumenty_3/khirurgiya_1/modul-dlya-sterilizatsii-bmk-biomaterials/
DENTI-KZ-BIOMATERIALS-KOREA-16756,16756,Biomaterials Korea,,НКР Набор BMK BioMaterials Bone Screw Kit,,,1,khirurgiya / napravlennaya kostnaya regeneratsiya / nkr nabor bmk biomaterials bone screw kit,"Набор НКР BioMaterials Screw Tack Kit HKR BioMaterials Screw Tack Kit — это профессиональный набор для фиксации костных мембран и материалов при проведении процедур направленной костной регенерации ( GBR ). Набор разработан для удобной, точной и безопасной установки костных пинов во время хирургических вмешательств в стоматологии и челюстно-лицевой хирургии. Инструменты подобраны таким образом, чтобы обеспечить полный цикл работы — от предварительного сверления до установки и фиксации винтов вручную или с использованием наконечника. Подходит для использования в клинических протоколах костной аугментации, фиксации барьерных мембран и стабилизации костных заменителей. Преимущества набора: Полный комплект инструментов в одном кейсе Возможность как ручной, так и машинной установки винтов Удобная организация инструментов внутри стерилизуемого бокса Подходит для большинства стандартных клинических протоколов GBR В составе: 1. Костные винты - 10 шт 2. SDB-15C Ручной фиксатор винтов - 1 шт 3. SEB-15C Машинный фиксатор винтов - 1 шт 4. Drill Bit Пилотное сверло - 1 шт 5. SDH4 Рукоятка -1 шт 6. SM02 Модуль для стерилизаций - 1 шт",https://denti.kz/upload/dev2fun.imagecompress/webp/iblock/ee1/mybrr18hiicniinrvy9g83d7d3owyv76.webp,1,EXACT_KZ_SPECIALIZED_MARKETPLACE_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://denti.kz/orders/blank_zakaza/khirurgiya/napravlennaya-kostnaya-regeneratsiya/nkr-nabor-bmk-biomaterials-bone-screw-kit/
