officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,variantCount,categoryPath,description,sourceImageUrl,imageCount,kzEvidence,status,sourcePageUrl
SHINING3D-ACCUFAB-CEL,SHINING 3D,"SHINING 3D Tech Co., Ltd.",SHINING 3D AccuFab-CEL,AccuFab-CEL,AccuFab-CEL,1,Dental 3D printers,"AccuFab-CEL dental 3D printer delivers 35μm high-precision printing with CPL technology and intelligent cabin control for reliable, efficient workflows.",https://www.shining3ddental.com/hubfs/website-S3D-dental/images/3.%203D%20print/CEL/20251211%20AccuFab-CEL-05.png,1,BRAND_AND_SELECTED_MODELS_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.shining3ddental.com/solution/accufab-cel
SHINING3D-ACCUFAB-D1S,SHINING 3D,"SHINING 3D Tech Co., Ltd.",SHINING 3D AccuFab-D1s,AccuFab-D1s,AccuFab-D1s,1,Dental 3D printers,Request a personalized quote for SHINING 3D DENTAL scanners and digital dental solutions. Our team will contact you with tailored pricing and details.,,0,BRAND_AND_SELECTED_MODELS_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,PHOTO_REQUIRED,https://www.shining3ddental.com/ko/solutions-ko/cad-software-ko/
SHINING3D-ACCUFAB-F1,SHINING 3D,"SHINING 3D Tech Co., Ltd.",SHINING 3D AccuFab-F1,AccuFab-F1,AccuFab-F1,1,Dental 3D printers,"AccuFab F1: Shining 3D Dental chairside 3D printer for crowns, surgical guides and splints. Fast, accurate and compatible with a wide range of validated dental resins.",https://www.shining3ddental.com/hubfs/website-S3D-dental/images/3.%203D%20print/F1/20251211%20AccuFab-F1-04.png,1,BRAND_AND_SELECTED_MODELS_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.shining3ddental.com/solution/accufab-f1/
SHINING3D-ACCUFAB-L4D,SHINING 3D,"SHINING 3D Tech Co., Ltd.",SHINING 3D AccuFab-L4D,AccuFab-L4D,AccuFab-L4D,1,Dental 3D printers,AccuFab L4D/K: high-throughput dental 3D printer by Shining 3D for dental labs. Print up to 30 units per cycle with industrial accuracy and validated dental resins.,https://www.shining3ddental.com/hubfs/website-S3D-dental/images/3.%203D%20print/L4D%20K/%E7%BC%A9%E7%95%A5%E5%9B%BE%E6%A8%A1%E7%89%88L4D.jpg,1,BRAND_AND_SELECTED_MODELS_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.shining3ddental.com/solution/accufab-l4d-k
SHINING3D-AORALSCAN-3,SHINING 3D,"SHINING 3D Tech Co., Ltd.",SHINING 3D Aoralscan 3,Aoralscan 3,Aoralscan 3,1,Intraoral scanners,"The Aoralscan 3 SHINING 3D intraoral scanner: high-accuracy intraoral scanning for implants, crowns and full-arch restorations.",https://www.shining3ddental.com/hubfs/website-S3D-dental/images/Product%20-%20Intraoral%20Scanner/Aoralscan%203/%E9%AB%98%E6%B8%85/%E7%BD%91%E7%AB%99%E5%8F%A3%E6%89%AB3-02.jpg,1,BRAND_AND_SELECTED_MODELS_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.shining3ddental.com/solution/aoralscan-3/
SHINING3D-AORALSCAN-3-WIRELESS,SHINING 3D,"SHINING 3D Tech Co., Ltd.",SHINING 3D Aoralscan 3 Wireless,Aoralscan 3 Wireless,Aoralscan 3 Wireless,1,Intraoral scanners,"The Aoralscan 3 Wireless intraoral scanner delivers full-arch scanning with no cables. Lightweight, ergonomic and built for high-volume dental practices.",https://www.shining3ddental.com/hubfs/website-S3D-dental/images/Product%20-%20Intraoral%20Scanner/Aoralscan%203%20Wireless/Veneer.jpg,1,BRAND_AND_SELECTED_MODELS_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.shining3ddental.com/solution/aoralscan-3-wireless-intraoral-scanner
SHINING3D-AORALSCAN-ELF,SHINING 3D,"SHINING 3D Tech Co., Ltd.",SHINING 3D Aoralscan Elf,Aoralscan Elf,Aoralscan Elf,1,Intraoral scanners,Aoralscan Elf: a compact intraoral scanner SHINING 3D Dental for efficient chairside workflows. Precision scanning at an accessible price point.,https://www.shining3ddental.com/hubfs/website-S3D-dental/images/Product%20-%20Intraoral%20Scanner/Aoralscan%20Elf/ic-a1.png,1,BRAND_AND_SELECTED_MODELS_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.shining3ddental.com/solution/aoralscan-elf
SHINING3D-AORALSCAN-ELITE,SHINING 3D,"SHINING 3D Tech Co., Ltd.",SHINING 3D Aoralscan Elite,Aoralscan Elite,Aoralscan Elite,1,Intraoral scanners,"Aoralscan Elite: our flagship intraoral scanner with intraoral photogrammetry, AI-powered scanning and full-arch accuracy for demanding restorative cases.",https://www.shining3ddental.com/hubfs/website-S3D-dental/images/Elite%20and%20EW%20IAMGES/Elite/20251204%20Elite-02.png,1,BRAND_AND_SELECTED_MODELS_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.shining3ddental.com/solution/aoralscan-elite/
SHINING3D-AORALSCAN-ELITE-WIRELESS,SHINING 3D,"SHINING 3D Tech Co., Ltd.",SHINING 3D Aoralscan Elite Wireless,Aoralscan Elite Wireless,Aoralscan Elite Wireless,1,Intraoral scanners,"Aoralscan Elite Wireless: our flagship intraoral scanner with intraoral photogrammetry, AI-powered scanning and full-arch accuracy, without the cable.",https://www.shining3ddental.com/hubfs/website-S3D-dental/images/Elite%20and%20EW%20IAMGES/EW/man_1.jpg,1,BRAND_AND_SELECTED_MODELS_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,KZ_SKU_EVIDENCE_REQUIRED,https://www.shining3ddental.com/en/solution/aoralscan-elite-wireless/
SHINING3D-AUTOSCAN-DS-EX-PRO-C-,SHINING 3D,"SHINING 3D Tech Co., Ltd.",SHINING 3D AutoScan-DS-EX Pro(C),AutoScan-DS-EX Pro(C),AutoScan-DS-EX Pro(C),1,Laboratory scanners,,,0,BRAND_AND_SELECTED_MODELS_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,PHOTO_REQUIRED,https://www.shining3ddental.com/brochure-download-autoscan-ds-ex-proc
