officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,variantCount,categoryPath,description,sourceImageUrl,imageCount,kzEvidence,status,sourcePageUrl
BILUMIX-9021752180979,BiLumix,"ChoiceTech Co., Ltd.",1.5x Loupe,BLXSL15,BLXSL15,1,BiLumix Headlamp,"Achieve unparalleled precision with our 1.5x Glass Loupe, designed to work seamlessly with the BiLumix Headlamp. Ideal for intricate medical procedures, this loupe ensures crystal-clear vision and optimal comfort. ▷ Manual Video",https://cdn.shopify.com/s/files/1/0740/6456/0371/files/1_5x_loupe_2024_6606b060-904f-4bae-b3b9-5023eb5d2fc3.jpg?v=1752208449,3,BRAND_PRESENTED_BY_KZ_SPECIALIZED_SELLER,KZ_SKU_EVIDENCE_REQUIRED,https://bilumix.com/shop/1-5x-loupe/
BILUMIX-9021752115443,BiLumix,"ChoiceTech Co., Ltd.",2.5x Loupe,BLXLP25A,BLXLP25A,1,Optics,"Experience superior magnification with our 2.5x Surgical Loupe, perfectly compatible with the BiLumix Headlamp. Engineered for surgical excellence, this loupe provides exceptional clarity and ergonomic design. ▷ Manual Video",https://cdn.shopify.com/s/files/1/0740/6456/0371/files/bilumix-25x-002_b527a300-13b0-4408-8af3-11cde9e4c119.webp?v=1752208456,5,BRAND_PRESENTED_BY_KZ_SPECIALIZED_SELLER,KZ_SKU_EVIDENCE_REQUIRED,https://bilumix.com/shop/2-5x-surgical-loupe/
BILUMIX-9021751787763,BiLumix,"ChoiceTech Co., Ltd.",2.5x Loupe FLEX,BLXLP25F,BLXLP25F,1,Optics,"Precision and Comfort for Every Procedure The 2.5x Loupe FLEX is a cutting-edge magnification tool designed to meet the exacting demands of medical and dental professionals. Featuring the innovative FLEX Joint, this loupe offers unparalleled adjustability, allowing you to customize the lens position and angle for optimal viewing and ergonomic comfort. Whether performing delicate surgeries or detailed dental procedures, the 2.5x FLEX Surgical Loupe ensures precision, clarity, and long-lasting comfort. FLEX Joint Arm: Advanced joint mechanism enables precise adjustments for the distance of the loupe lenses from your eyes and the viewing angle, ensuring a tailored fit for every user. Adjustable Lens Distance: Perfect for professionals who require fine-tuned tool settings to maintain precision. Customizable Loupe Angle: Allows you to achieve a natural and comfortable posture, reducing the strain on your neck and back while maintaining a clear view of the operation area. With its groundbreaking FLEX Joint and ergonomic design, the 2.5x Loupe FLEX empowers professionals to deliver their best work without compromising their health or comfort. Ideal for those who demand precision and flexibility in every procedure. ▷ Manual Video",https://cdn.shopify.com/s/files/1/0740/6456/0371/files/2_5x_flex_loupe_001_2024_8b146034-20f9-4b6c-ac00-cde4a496aefa.jpg?v=1752208486,4,BRAND_PRESENTED_BY_KZ_SPECIALIZED_SELLER,KZ_SKU_EVIDENCE_REQUIRED,https://bilumix.com/shop/2-5x-loupe-flex/
BILUMIX-9021752082675,BiLumix,"ChoiceTech Co., Ltd.",4.0x Loupe,BLXLP40A,BLXLP40A,1,Optics,"Elevate your surgical precision with our 4x Surgical Loupe, meticulously crafted for compatibility with the BiLumix Headlamp. This advanced loupe offers unparalleled visibility and precision for intricate procedures. ▷ Manual Video",https://cdn.shopify.com/s/files/1/0740/6456/0371/files/bilumix-35x-002_eba6d101-afca-425d-9f17-2d0202148825.webp?v=1752208462,4,BRAND_PRESENTED_BY_KZ_SPECIALIZED_SELLER,KZ_SKU_EVIDENCE_REQUIRED,https://bilumix.com/shop/4-0x-surgical-loupe/
BILUMIX-9021751722227,BiLumix,"ChoiceTech Co., Ltd.",4.0x Loupe FLEX,BLXLP40F,BLXLP40F,1,Optics,"Maximum Magnification with Superior Comfort The 4x Loupe FLEX is designed for professionals who require higher magnification without sacrificing comfort or clarity. Featuring the innovative FLEX Joint, this loupe offers precise adjustments for lens position and angle, ensuring optimal viewing and ergonomic support. Whether you're performing intricate surgical procedures or detailed dental work, the 4x FLEX Surgical Loupe delivers exceptional magnification and reliability for demanding tasks. Enhanced 4x Magnification: Provides detailed and precise visualization for complex procedures. FLEX Joint Arm: Adjusts the distance between the lenses and your eyes for a tailored fit, ensuring accuracy and comfort. Customizable Viewing Angle: Achieve an ergonomic posture to reduce strain and enhance focus during prolonged procedures. Professional-Grade Durability: Built to meet the rigorous demands of medical and dental practices. Invest in the 4x Loupe FLEX to enhance your capabilities and improve your practice with unmatched magnification and ergonomic excellence. ▷ Manual Video",https://cdn.shopify.com/s/files/1/0740/6456/0371/files/4x_loupe_001_2024_07f49a18-fc11-44cb-93f9-01c61c936eee.jpg?v=1752208493,6,BRAND_PRESENTED_BY_KZ_SPECIALIZED_SELLER,KZ_SKU_EVIDENCE_REQUIRED,https://bilumix.com/shop/4x-loupe-flex/
BILUMIX-9021752213747,BiLumix,"ChoiceTech Co., Ltd.",BiLumix Camera,,BLXCAM-BL1 | BLXCAM-BL2,2,,"High quality video camera optimized for medical operation. Enables user to perform the operation on the area without looking directly Enables to share the operation with cooperators and large audience. Enables to review the operation and make decisions and adjustment to improve your operation based on analysis. Feature Stream & record video with desired point of view Mountable to any surface (Recommend to use on OR & ceiling & chair light) View the operational area in close up view with zoom Specification Camera: 64 Mega Pixel Magnification: BL-1 (2-5x) & BL-2(4-9x) Display Resolution 1920 x 1080 (FHD) Focus type: Single triggering auto focus & fine tuning Wireless Connection: Wi-Fi 802.11n/ac, 5GHz. 2x2 MIMO Battery: 5000mAH Li-ion battery integratedUSB-C current bank(external) supported (10,000mAH x 2) Status LED indication: Power on/off, battery status Remote Controller: Bluetooth 4.0, 2.4GHz Video Encoding H.264 Camera Viewing Angle: Tilt function supported (+45°, -55°) Software Requirement:- O/S: Windows 10, 64bit- CPU: Dual Core, 2.3GHz- Memory: SSH 256GB- Graphic Card: Intel HD Graphic card integrated- WiFi: Wireless LAN IEEE 802.11 n/ac 867Mbps on 5GHz Fast wireless data transmitter included",https://cdn.shopify.com/s/files/1/0740/6456/0371/files/cam-1_0ed2433b-5a18-4038-914d-517286695879.png?v=1752208445,4,BRAND_PRESENTED_BY_KZ_SPECIALIZED_SELLER,KZ_SKU_EVIDENCE_REQUIRED,https://bilumix.com/shop/bilumix-cam/
BILUMIX-9021753360627,BiLumix,"ChoiceTech Co., Ltd.",BiLumix Face Shield X2 Package,,BLXFSX2-PK | BLXFSX2-SD,2,BiLumix Headlamp,Include 1 x Face Shield Frame 5 x Re-usable Shields Features Perfect for BiLumix Headlamp Anti Fog Shields Adjustable Angle Easy flip up and Down ✱ Please purchase 'X2 Starter Package' FIRST then buy ONLY Shield Package Later,https://cdn.shopify.com/s/files/1/0740/6456/0371/files/bilumix-x2_23616673-c6a0-47f3-aba7-9fd744ebf755.webp?v=1752208400,10,BRAND_PRESENTED_BY_KZ_SPECIALIZED_SELLER,KZ_SKU_EVIDENCE_REQUIRED,https://bilumix.com/shop/bilumix-face-shield-x2-package/
BILUMIX-9021752639731,BiLumix,"ChoiceTech Co., Ltd.",BiLumix Headlamp GEN 2,,BLXHL2A-DWL | BLXHL2A-SL15 | BLXHL2A-LP25A | BLXHL2A-LP40A | BLXHL2A-SLP25A | BLXHL2A-SLP40A | BLXHL2A-LP65A | BLXHL2A-SLP65A | BLXHL2A-LP25F | BLXHL2A-LP40F | BLXHL2A-SLP25F | BLXHL2A-SLP40F | BLXHL2A-LP65F | BLXHL2A-SLP65F | BLXHL2A-LP25S40F | BLXHL2A-LP25F40S | BLXHL2A-SLP25S40F | BLXHL2A-SLP25F40S,18,BiLumix Headlamp,Key Features Shadowless Effect Dual-angle lighting minimizes shadows Dual Diffused Lights Minimized shadows for clearer visibility Improved Design Ergonomically re-designed with snug and secure fit One-touch power button Easy tapping for faster and convenient Intuitive Power Indicator Simple and clear view Click here for the list of manual video instructions.,https://cdn.shopify.com/s/files/1/0740/6456/0371/files/bi-prod-headlamp-4.jpg?v=1756533499,4,BRAND_PRESENTED_BY_KZ_SPECIALIZED_SELLER,KZ_SKU_EVIDENCE_REQUIRED,https://bilumix.com/shop/bilumix-headlamp/
BILUMIX-9021751984371,BiLumix,"ChoiceTech Co., Ltd.",BiLumix Headlamp GEN 2S,,BLXHL2S-DWL | BLXHL2S-SL15 | BLXHL2S-LP25A | BLXHL2S-LP40A | BLXHL2S-SLP25A | BLXHL2S-SLP40A | BLXHL2S-LP65A | BLXHL2S-SLP65A | BLXHL2S-LP25F | BLXHL2S-LP40F | BLXHL2S-SLP25F | BLXHL2S-SLP40F | BLXHL2S-LP65F | BLXHL2S-SLP65F | BLXHL2S-ELP25 | BLXHL2S-ELP30 | BLXHL2S-ELP55 | BLXHL2S-SL15ELP25 | BLXHL2S-SL15ELP30 | BLXHL2S-SL15ELP55 | BLXHL2S-LP25S40F | BLXHL2S-LP25F40S | BLXHL2S-SLP25S40F | BLXHL2S-SLP25F40S,24,BiLumix Headlamp,Key Features Shadowless Effect Dual-angle lighting minimizes shadows Focused Lights with Adjustable Angles Bright spotlight Improved Design Ergonomically re-designed with snug and secure fit One-touch power button Easy tapping for faster and convenient Intuitive Power Indicator Simple and clear view Click here for the list of manual video instructions.,https://cdn.shopify.com/s/files/1/0740/6456/0371/files/bilumix-g2s-fr.webp?v=1756533510,9,BRAND_PRESENTED_BY_KZ_SPECIALIZED_SELLER,KZ_SKU_EVIDENCE_REQUIRED,https://bilumix.com/shop/bilumix-headlamp-gen-2s/
BILUMIX-9133635633395,BiLumix,"ChoiceTech Co., Ltd.",BiLumix Headlamp GEN 3,,BLXHL3A-DWL | BLXHL3A-SL15 | BLXHL3A-LP25A | BLXHL3A-LP40A | BLXHL3A-SLP25A | BLXHL3A-SLP40A | BLXHL3A-LP65A | BLXHL3A-SLP65A | BLXHL3A-LP25F | BLXHL3A-LP40F | BLXHL3A-SLP25F | BLXHL3A-SLP40F | BLXHL3A-LP65F | BLXHL3A-SLP65F | BLXHL3A-LP25S40F | BLXHL3A-LP25F40S | BLXHL3A-SLP25S40F | BLXHL3A-SLP25F40S,18,BiLumix Headlamp,"Key Features Shadowless Effect Dual-angle lighting minimizes shadows Dual Diffused Lights Minimized shadows for clearer visibility Open-Back Design Comfortable fit for long or tied hair External Battery Pack Extended runtime Reduced weight on the head Steady, Secure Fit Dual-point grip for stability One-Touch Power Control Large, easy-to-press button Clear Power Indicator Check status without removing the headlamp Intuitive Brightness Dial Smooth, easy-grip control Click here for the list of manual video instructions.",https://cdn.shopify.com/s/files/1/0740/6456/0371/files/gen3-no-loupe_1e25d3c7-229b-4232-85d1-9c34e3b45356.png?v=1756533529,10,BRAND_PRESENTED_BY_KZ_SPECIALIZED_SELLER,KZ_SKU_EVIDENCE_REQUIRED,https://bilumix.com/shop/bilumix-headlamp-gen3/
