officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,variantCount,categoryPath,description,sourceImageUrl,imageCount,kzEvidence,status,sourcePageUrl
DENTAL-ART-ZERO,Dental Art,Dental Art S.p.A.,Zero,,,1,hygiene,Not Made To Blend In,https://www.dental-art.it/wp-content/uploads/2019/07/zero_testata-1024x329.jpg,1,BRAND_PRESENTED_BY_KZ_SPECIALIZED_SELLER,MANUFACTURER_REFERENCE_REQUIRED,https://www.dental-art.it/en/products/hygiene/zero/
DENTAL-ART-TAO,Dental Art,Dental Art S.p.A.,TAO,,,1,practice,"TAO cabinet combines design, technology and organization for modern dental practices. It features SMART LEDs, airtight drawers and modular systems.",https://www.dental-art.it/wp-content/uploads/2025/10/tao-led-anteprima-5-1500x589.jpg,1,BRAND_PRESENTED_BY_KZ_SPECIALIZED_SELLER,MANUFACTURER_REFERENCE_REQUIRED,https://www.dental-art.it/en/products/practice/tao/
DENTAL-ART-PLUS,Dental Art,Dental Art S.p.A.,Plus+,,,1,practice,"One thousand ways to be yourself, wish Dental Art",https://www.dental-art.it/wp-content/uploads/2020/10/plus.jpg,1,BRAND_PRESENTED_BY_KZ_SPECIALIZED_SELLER,MANUFACTURER_REFERENCE_REQUIRED,https://www.dental-art.it/en/products/practice/plus/
DENTAL-ART-WISH,Dental Art,Dental Art S.p.A.,Wish,,,1,hygiene,"Choose the elements you need Wish is a practical, stylish and colourful tool. You can change the internal elements to insert and also vary the internal design of the dispenders, which are pinned with simple and intuitive icon Modular soap dispenser",https://www.dental-art.it/wp-content/uploads/2019/08/wish_testata.jpg,1,BRAND_PRESENTED_BY_KZ_SPECIALIZED_SELLER,MANUFACTURER_REFERENCE_REQUIRED,https://www.dental-art.it/en/products/hygiene/wish/
DENTAL-ART-UNICA,Dental Art,Dental Art S.p.A.,Unica,,,1,practice,"Spacious modules, a raised worktop for comfortable work, and the ability to customize every detail: furnish your sterilization room with UNICA.",https://www.dental-art.it/wp-content/uploads/2024/05/unica-sterilizzazione-3.png,1,BRAND_PRESENTED_BY_KZ_SPECIALIZED_SELLER,MANUFACTURER_REFERENCE_REQUIRED,https://www.dental-art.it/en/products/practice/unica/
DENTAL-ART-OTTO,Dental Art,Dental Art S.p.A.,Otto,,,1,hygiene,"Optimize your operating room space with the OTTO hygiene column, the complete solution for elegance and functionality in your dental practice.",https://www.dental-art.it/wp-content/uploads/2024/06/otto-anteprima_IMG-ANTEPRIMA.png,1,BRAND_PRESENTED_BY_KZ_SPECIALIZED_SELLER,MANUFACTURER_REFERENCE_REQUIRED,https://www.dental-art.it/en/products/hygiene/otto/
DENTAL-ART-LUNA-E-L-8217-ALTRO,Dental Art,Dental Art S.p.A.,Luna e l&#8217;Altro,,,1,hygiene,An hygiene unit! Who would have thought?! LUNA is the dispenser for disposable. L’ALTRO an infrared soap dispenser. Designed for young and dynamic practises where safety and practicality blend with colour and design.,https://www.dental-art.it/wp-content/uploads/2019/08/luna_testata.jpg,1,BRAND_PRESENTED_BY_KZ_SPECIALIZED_SELLER,MANUFACTURER_REFERENCE_REQUIRED,https://www.dental-art.it/en/products/hygiene/luna-e-laltro/
DENTAL-ART-POP,Dental Art,Dental Art S.p.A.,POP!,,,1,practice,"Let the unique, young and cheerful look of our new dental office furniture POP! takes you on an amazing journey.",https://www.dental-art.it/wp-content/uploads/2023/09/pop-preview_IMG-ANTEPRIMA.png,1,BRAND_PRESENTED_BY_KZ_SPECIALIZED_SELLER,MANUFACTURER_REFERENCE_REQUIRED,https://www.dental-art.it/en/products/practice/pop/
DENTAL-ART-TRON,Dental Art,Dental Art S.p.A.,Tron,,,1,practice,"Tron, moving technology. The computer and equipment cart with a slim design and accessories that enhance functionalities.",https://www.dental-art.it/wp-content/uploads/2023/01/tron-carrello-dentista.jpg,1,BRAND_PRESENTED_BY_KZ_SPECIALIZED_SELLER,MANUFACTURER_REFERENCE_REQUIRED,https://www.dental-art.it/en/products/practice/tron/
DENTAL-ART-AVANT-SYSTEM,Dental Art,Dental Art S.p.A.,Avant System,,,1,practice,The time you save is yours,https://www.dental-art.it/wp-content/uploads/2019/08/avant_testata.jpg,1,BRAND_PRESENTED_BY_KZ_SPECIALIZED_SELLER,MANUFACTURER_REFERENCE_REQUIRED,https://www.dental-art.it/en/products/practice/avant-system/
