officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,variantCount,categoryPath,description,imageUrls,imageCount,kzEvidence,status,sourcePageUrl
2,IMD,IMD Medical,ProMIM X,,,1,Orthodontics > Brackets System > Self Ligating Brackets,"Advanced Light Wire Bracket ◆ FOMIC System - Achieving this harmonious balance involves precise adjustments to the positions of molars(M), incisors(I), cuspids(C), and the functional occlusal(FO) plane. ◆ Light Wire and Light Force - Biomechanically moving teeth and open bite. ◆ Ribbon Wire and Ribbon Solt - Making torque control easier and faster.",https://file.imdmedical.com:8052/ImdWebsite/image/bf881f41815541bc83622340d3280e07_2023-11-23.png | https://file.imdmedical.com:8052/ImdWebsite/image/833502d0705440bca8ac6b361d0ba994_2023-11-23.png | https://file.imdmedical.com:8052/ImdWebsite/image/ecd40389464a411ebe91e0cf64935d8d_2023-11-24.jpg,3,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,MANUFACTURER_REFERENCE_AND_VARIANT_MATRIX_REQUIRED,https://www.imdmedical.com/#/particular?productId=2
3,IMD,IMD Medical,ProMIM IX,,,1,Orthodontics > Brackets System > Self Ligating Brackets,◆ Rounded contours increases patient comfort ◆ Full slot clip coverage increases tooth movement efficiency ◆ Double vertical slots for optional drop-in hooks ◆ Variable torque prescription for all cases ◆ Z-Rail sliding mechanism provides a jam-free operation ◆ Double mesh base ensures maximum bonding strength,https://file.imdmedical.com:8052/ImdWebsite/image/b689c65ad176419fbe8ee0b5dc454456_2023-11-23.png | https://file.imdmedical.com:8052/ImdWebsite/image/f2950de11bcc44798d2225f7955e0188_2023-11-23.png | https://file.imdmedical.com:8052/ImdWebsite/image/9b96aa3ecf704aa5b6ca24165addecd0_2024-04-24.PNG | https://file.imdmedical.com:8052/ImdWebsite/image/ac2bda75caff46bfb1147ded8809fe22_2023-11-30.jpg | https://file.imdmedical.com:8052/ImdWebsite/image/a6d2244945ed40f1a707d057c4a6f6a7_2023-11-30.jpg | https://file.imdmedical.com:8052/ImdWebsite/image/e45f973817cf48afb830ffe1473dc24e_2023-11-30.jpg,6,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,MANUFACTURER_REFERENCE_AND_VARIANT_MATRIX_REQUIRED,https://www.imdmedical.com/#/particular?productId=3
10,IMD,IMD Medical,ProMIM,,,1,Orthodontics > Brackets System > Self Ligating Brackets,"Passive Self-Ligating Bracket ◆ Low profile with smooth, rounded edges to reduce friction and occlusal interference ◆ Torque-in-Base for level slot line-up ◆ Symmetrical Tie-wings with generous space for ligation ◆ Center Scribe Line for accurate bracket placement ◆ Easy opening clip and slot blocker design allows for quick, easy and time saving wire changes",https://file.imdmedical.com:8052/ImdWebsite/image/5d58f1741fcf4ee1a5a460b97a1fec14_2023-11-23.png | https://file.imdmedical.com:8052/ImdWebsite/image/d0cdf6590e114a63b82698c83c2e3b79_2023-11-23.png | https://file.imdmedical.com:8052/ImdWebsite/image/26ce9e81990e4f35a87c08526ba7a3c3_2023-11-24.jpg,3,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,MANUFACTURER_REFERENCE_AND_VARIANT_MATRIX_REQUIRED,https://www.imdmedical.com/#/particular?productId=10
9,IMD,IMD Medical,ActMIM,,,1,Orthodontics > Brackets System > Self Ligating Brackets,Interactive Self-Ligating Bracket ◆ Special Spring Temper Clip ◆ Precision Slot Dimensions ±.001 / Best in the Industry ◆ Full Slot Clip Coverage ◆ Clip User Friendly ◆ Compound Contour / Torque In Base,https://file.imdmedical.com:8052/ImdWebsite/image/5916344ad3d747f38f050e5dda4a4ad0_2023-11-23.png | https://file.imdmedical.com:8052/ImdWebsite/image/9056999eca2e4974bdeb989adf2f6403_2023-11-23.png | https://file.imdmedical.com:8052/ImdWebsite/image/8ea68e096cc8401f8b7b59c46e3334c6_2023-11-30.jpg,3,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,MANUFACTURER_REFERENCE_AND_VARIANT_MATRIX_REQUIRED,https://www.imdmedical.com/#/particular?productId=9
5,IMD,IMD Medical,Glacier II,,,1,Orthodontics > Brackets System > Self Ligating Brackets,Aesthetic Ceramic Self-Ligating Bracket ◆ Advanced Ceramic Material ◆ Nickel-Titanium Tension Clip ◆ Bevel Slot ◆ Triple X Base ◆ Clip by Three Finger Mechanism ◆ Smooth Rounded Hook Design,https://file.imdmedical.com:8052/ImdWebsite/image/dd95b25e5bf34cf397853f90e6cdb1b1_2023-11-23.png | https://file.imdmedical.com:8052/ImdWebsite/image/8a9e5873bc67434ca193a2583bb847c1_2023-11-23.png | https://file.imdmedical.com:8052/ImdWebsite/image/f71a74ac649946fab5cf7db1de4327b5_2023-12-05.jpg,3,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,MANUFACTURER_REFERENCE_AND_VARIANT_MATRIX_REQUIRED,https://www.imdmedical.com/#/particular?productId=5
4,IMD,IMD Medical,Glacier,,,1,Orthodontics > Brackets System > Self Ligating Brackets,Aesthetic Ceramic Self-Ligating Bracket ◆ The best quality durable ceramic material ◆ The most advanced patented structure design ◆ The ultimate smart & secured clip performance.,https://file.imdmedical.com:8052/ImdWebsite/image/46ccf59ee1c2477c9f1534a7a6f2041f_2023-11-23.png | https://file.imdmedical.com:8052/ImdWebsite/image/a65fe1fd5f774c96b023ff7609b14739_2023-11-30.png | https://file.imdmedical.com:8052/ImdWebsite/image/b6159ab7ecb24baf9272f0c5f66bb3b0_2023-12-06.jpg,3,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,MANUFACTURER_REFERENCE_AND_VARIANT_MATRIX_REQUIRED,https://www.imdmedical.com/#/particular?productId=4
12,IMD,IMD Medical,Omni Plus,,,1,Orthodontics > Brackets System > Metal Twin Brackets,,https://file.imdmedical.com:8052/ImdWebsite/image/5a2d90b7a619465d9bd973535d0e1660_2023-11-23.png | https://file.imdmedical.com:8052/ImdWebsite/image/47e084161bde40b3a021f107a035dcd4_2023-11-23.png | https://file.imdmedical.com:8052/ImdWebsite/image/d14d2a0c5cee45e8ab61142c4acdcae5_2023-11-24.jpg,3,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,MANUFACTURER_REFERENCE_AND_VARIANT_MATRIX_REQUIRED,https://www.imdmedical.com/#/particular?productId=12
15,IMD,IMD Medical,Mini Arch,,,1,Orthodontics > Brackets System > Metal Twin Brackets,Low profile adds to the bracket’s aesthetics and comfort while expressing precise programming for effective mechanics Round facial contours and mini-size make the brackets less noticeable and enhance patient comfort Bidirectional arch base for optimum fit & increased bond strength and accurate bracket placement,https://file.imdmedical.com:8052/ImdWebsite/image/84e9c08775914c658770ca4fac6b84a4_2023-11-23.png | https://file.imdmedical.com:8052/ImdWebsite/image/bb80b977fed04fbb81b49c96612cf6e0_2023-11-23.png | https://file.imdmedical.com:8052/ImdWebsite/image/a5946da1f971400590ec12b7856e5fee_2023-11-24.jpg,3,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,MANUFACTURER_REFERENCE_AND_VARIANT_MATRIX_REQUIRED,https://www.imdmedical.com/#/particular?productId=15
16,IMD,IMD Medical,Ophro,,,1,Orthodontics > Brackets System > Metal Twin Brackets,,https://file.imdmedical.com:8052/ImdWebsite/image/f3e5805b5f5245aeaa881c0dc4de0232_2023-11-23.png | https://file.imdmedical.com:8052/ImdWebsite/image/a35276a0b5364c50b2c0914446aa8e2c_2023-11-23.png | https://file.imdmedical.com:8052/ImdWebsite/image/a8755fbe18114d5e83ff2c32c2304a51_2023-11-24.jpg,3,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,MANUFACTURER_REFERENCE_AND_VARIANT_MATRIX_REQUIRED,https://www.imdmedical.com/#/particular?productId=16
17,IMD,IMD Medical,Atua,,,1,Orthodontics > Brackets System > Metal Twin Brackets,"Torque-in-Base compound contour for level slot line-up Metal Injection Molding (MIM) with 17-4PH stainless steel for smooth and non-deformable slot Smooth, rounded edges to reduce friction and occlusal interference Symmetrical tie-wings with generous space for ligation Center scribe line for accurate bracket placement Color and number coded for easy identification Ball hooks available on 3’s, 4’s & 5’s",https://file.imdmedical.com:8052/ImdWebsite/image/e9aa9b3daa834a229d5f7b3327b21bfb_2023-11-30.png | https://file.imdmedical.com:8052/ImdWebsite/image/35ffdb0e0f0242b7b6e393dad2f49a33_2023-11-23.png | https://file.imdmedical.com:8052/ImdWebsite/image/26ecb0e0882c4a3d8fa88f656ee43079_2023-11-24.jpg,3,BRAND_AND_SELECTED_PRODUCTS_PRESENT_IN_STOMIR_KZ_CATALOG,MANUFACTURER_REFERENCE_AND_VARIANT_MATRIX_REQUIRED,https://www.imdmedical.com/#/particular?productId=17
