officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,registrationNumber,variantCount,categoryPath,description,sourceImageUrl,imageCount,kzEvidence,status,sourcePageUrl
BINERGIA-55287,Бинергия,АО «Бинергия»,Denta Balance Экстракт Чайного дерева гелевая зубная паста с метабиотиком — 260 мл,,,,1,Уход за полостью рта,"Denta Balance TEA TREE EXTRACT, ДентаБаланс Экстракт Чайного дерева",https://binergia.ru/upload/iblock/073/%D0%94%D0%B5%D0%BD%D1%82%D0%B0%D0%91%D0%B0%D0%BB%D0%B0%D0%BD%D1%81%20-%20%D0%9F%D0%B0%D1%81%D1%82%D0%B0%20%D1%81%20%D0%B4%D0%BE%D0%B7%D0%B0%D1%82%D0%BE%D1%80%D0%BE%D0%BC%20285%D0%B3%20-%20%D0%A7%D0%B0%D0%B9%D0%BD%D0%BE%D0%B5%20%D0%B4%D0%B5%D1%80%D0%B5%D0%B2%D0%BE.png,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://binergia.ru/catalog/ukhod-za-polostyu-rta/denta-balance-ekstrakt-chaynogo-dereva-gelevaya-zubnaya-pasta-s-metabiotikom/
BINERGIA-55286,Бинергия,АО «Бинергия»,Denta Balance Древесный уголь гелевая зубная паста с метабиотиком — 260 мл,,,,1,Уход за полостью рта,"Denta Balance CHARCOAL, ДентаБаланс Древесный уголь гелевая зубная паста с метабиотиком",https://binergia.ru/upload/iblock/7e6/%D0%94%D0%B5%D0%BD%D1%82%D0%B0%D0%91%D0%B0%D0%BB%D0%B0%D0%BD%D1%81%20-%20%D0%9F%D0%B0%D1%81%D1%82%D0%B0%20%D1%81%20%D0%B4%D0%BE%D0%B7%D0%B0%D1%82%D0%BE%D1%80%D0%BE%D0%BC%20285%D0%B3%20-%20%D0%A3%D0%B3%D0%BE%D0%BB%D1%8C.png,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://binergia.ru/catalog/ukhod-za-polostyu-rta/denta-balance-drevesnyy-ugol-gelevaya-zubnaya-pasta-s-metabiotikom/
BINERGIA-55283,Бинергия,АО «Бинергия»,Denta Balance Розовая соль гелевая зубная паста с метабиотиком — 260 мл,,,,1,Уход за полостью рта,"Denta Balance PINK SALT, ДентаБаланс Розовая соль гелевая зубная паста с метабиотиком",https://binergia.ru/upload/iblock/003/%D0%94%D0%B5%D0%BD%D1%82%D0%B0%D0%91%D0%B0%D0%BB%D0%B0%D0%BD%D1%81%20-%20%D0%9F%D0%B0%D1%81%D1%82%D0%B0%20%D1%81%20%D0%B4%D0%BE%D0%B7%D0%B0%D1%82%D0%BE%D1%80%D0%BE%D0%BC%20285%D0%B3%20-%20%D0%A0%D0%BE%D0%B7%D0%BE%D0%B2%D0%B0%D1%8F%20%D1%81%D0%BE%D0%BB%D1%8C.png,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://binergia.ru/catalog/ukhod-za-polostyu-rta/denta-balance-rozovaya-sol-gelevaya-zubnaya-pasta-s-metabiotikom/
BINERGIA-55274,Бинергия,АО «Бинергия»,Denta Balance Бережное отбеливание гелевая зубная паста с метабиотиком — 260 мл,,,,1,Уход за полостью рта,"Denta Balance Delicate WHITENING, ДентаБаланс Бережное отбеливание",https://binergia.ru/upload/iblock/a54/%D0%94%D0%B5%D0%BD%D1%82%D0%B0%D0%91%D0%B0%D0%BB%D0%B0%D0%BD%D1%81%20-%20%D0%9F%D0%B0%D1%81%D1%82%D0%B0%20%D1%81%20%D0%B4%D0%BE%D0%B7%D0%B0%D1%82%D0%BE%D1%80%D0%BE%D0%BC%20285%D0%B3%20-%20%D0%9E%D1%82%D0%B1%D0%B5%D0%BB%D0%B8%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5%20(%D0%9F%D0%BE%D0%BB%D1%8C%D0%B7%D0%BE%D0%B2%D0%B0%D1%82%D0%B5%D0%BB%D1%8C%D1%81%D0%BA%D0%BE%D0%B5).png,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://binergia.ru/catalog/ukhod-za-polostyu-rta/denta-balance-berezhnoe-otbelivanie-gelevaya-zubnaya-pasta-s-metabiotikom-260-ml/
BINERGIA-55271,Бинергия,АО «Бинергия»,Denta Balance Морские минералы и Cпирулина гелевая зубная паста с метабиотиком — 260 мл,,,,1,Уход за полостью рта,"Denta Balance SEA MINERALS & SPIRULINA, ДентаБаланс Морские минералы и Cпирулина",https://binergia.ru/upload/iblock/565/%D0%94%D0%B5%D0%BD%D1%82%D0%B0%D0%91%D0%B0%D0%BB%D0%B0%D0%BD%D1%81%20-%20%D0%9F%D0%B0%D1%81%D1%82%D0%B0%20%D1%81%20%D0%B4%D0%BE%D0%B7%D0%B0%D1%82%D0%BE%D1%80%D0%BE%D0%BC%20285%D0%B3%20-%20%D0%9C%D0%BE%D1%80%D1%81%D0%BA%D0%B8%D0%B5%20%D0%BC%D0%B8%D0%BD%D0%B5%D1%80%D0%B0%D0%BB%D1%8B%20(%D0%9F%D0%BE%D0%BB%D1%8C%D0%B7%D0%BE%D0%B2%D0%B0%D1%82%D0%B5%D0%BB%D1%8C%D1%81%D0%BA%D0%BE%D0%B5).png,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://binergia.ru/catalog/ukhod-za-polostyu-rta/denta-balance-morskie-mineraly-i-cpirulina-gelevaya-zubnaya-pasta-s-metabiotikom-260-ml/
BINERGIA-55264,Бинергия,АО «Бинергия»,Denta Balance Herbal | Лечебные травы гелевая зубная паста с метабиотиком — 260 мл,,,,1,Уход за полостью рта,"Denta Balance Herbal, ДентаБаланс Лечебные травы",https://binergia.ru/upload/iblock/bac/%D0%94%D0%B5%D0%BD%D1%82%D0%B0%D0%91%D0%B0%D0%BB%D0%B0%D0%BD%D1%81%20-%20%D0%9F%D0%B0%D1%81%D1%82%D0%B0%20%D1%81%20%D0%B4%D0%BE%D0%B7%D0%B0%D1%82%D0%BE%D1%80%D0%BE%D0%BC%20285%D0%B3%20-%20%D0%9B%D0%B5%D1%87%D0%B5%D0%B1%D0%BD%D1%8B%D0%B5%20%D1%82%D1%80%D0%B0%D0%B2%D1%8B%20(%D0%9F%D0%BE%D0%BB%D1%8C%D0%B7%D0%BE%D0%B2%D0%B0%D1%82%D0%B5%D0%BB%D1%8C%D1%81%D0%BA%D0%BE%D0%B5).png,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://binergia.ru/catalog/ukhod-za-polostyu-rta/denta-balance-lechebnye-travy-gelevaya-zubnaya-pasta-s-metabiotikom-260-ml/
BINERGIA-55151,Бинергия,АО «Бинергия»,Denta Balance Исландский мох гелевая зубная паста с метабиотиком — 260 мл,,,,1,Уход за полостью рта,"Denta Balance ISLAND MOSS, ДентаБаланс Исландский мох",https://binergia.ru/upload/iblock/d28/%D0%94%D0%B5%D0%BD%D1%82%D0%B0%D0%91%D0%B0%D0%BB%D0%B0%D0%BD%D1%81%20-%20%D0%9F%D0%B0%D1%81%D1%82%D0%B0%20%D1%81%20%D0%B4%D0%BE%D0%B7%D0%B0%D1%82%D0%BE%D1%80%D0%BE%D0%BC%20285%D0%B3%20-%20%D0%98%D1%81%D0%BB.%D0%BC%D0%BE%D1%85%20(%D0%9F%D0%BE%D0%BB%D1%8C%D0%B7%D0%BE%D0%B2%D0%B0%D1%82%D0%B5%D0%BB%D1%8C%D1%81%D0%BA%D0%BE%D0%B5).png,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://binergia.ru/catalog/ukhod-za-polostyu-rta/denta-balance-islandskiy-mokh-gelevaya-zubnaya-pasta-s-dozatorom-260-ml/
BINERGIA-55023,Бинергия,АО «Бинергия»,Denta Balance Гидроксиапатит гелевая зубная паста с метабиотиком — 260 мл,,,,1,Уход за полостью рта,"Denta Balance Hydroxyapatite, Гидроксиапатит",https://binergia.ru/upload/iblock/90d/%D0%94%D0%B5%D0%BD%D1%82%D0%B0%D0%91%D0%B0%D0%BB%D0%B0%D0%BD%D1%81%20-%20%D0%9F%D0%B0%D1%81%D1%82%D0%B0%20%D1%81%20%D0%B4%D0%BE%D0%B7%D0%B0%D1%82%D0%BE%D1%80%D0%BE%D0%BC%20285%D0%B3%20-%20%D0%93%D0%B8%D0%B4%D1%80%D0%BE%D0%BA%D1%81%D0%B8%D0%B0%D0%BF%D0%B0%D1%82%D0%B8%D1%82%20800.png,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://binergia.ru/catalog/ukhod-za-polostyu-rta/denta-balance-hydroxyapatite-gidroksiapatit-gelevaya-zubnaya-pasta-s-dozatorom-260-ml/
BINERGIA-44021,Бинергия,АО «Бинергия»,Denta Balance Whitening зубная паста Отбеливание — 75 мл,,,,1,Уход за полостью рта,Denta Balance Whitening зубная паста Отбеливание,https://binergia.ru/upload/iblock/a3d/%D0%94%D0%B5%D0%BD%D1%82%D0%B0%D0%91%D0%B0%D0%BB%D0%B0%D0%BD%D1%81%20-%20%D0%B7%D1%83%D0%B1%D0%BD%D0%B0%D1%8F%20%D0%BF%D0%B0%D1%81%D1%82%D0%B0%20%D0%BE%D1%82%D0%B1%D0%B5%D0%BB%D0%B8%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5%20(%D0%BF%D0%B0%D1%87%D0%BA%D0%B0%20+%20%D1%82%D1%8E%D0%B1%D0%B8%D0%BA%20%D0%B2%D0%BF%D1%80%D0%B0%D0%B2%D0%BE)%20line%201(2).png,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://binergia.ru/catalog/ukhod-za-polostyu-rta/denta-balance-whitening-herbal-zubnaya-pasta-otbelivanie-/
BINERGIA-44020,Бинергия,АО «Бинергия»,Denta Balance Herbal зубная паста Лечебные травы — 75 мл,,,,1,Уход за полостью рта,"Информация об анестезирующем растворе для инъекций Артикаин 40мг/мл (50 картриджей). Способы применения, правильные дозы применения, побочные эффекты. Можно ли принимать беременным?",https://binergia.ru/upload/iblock/750/%D0%94%D0%B5%D0%BD%D1%82%D0%B0%D0%91%D0%B0%D0%BB%D0%B0%D0%BD%D1%81%20-%20%D0%B7%D1%83%D0%B1%D0%BD%D0%B0%D1%8F%20%D0%BF%D0%B0%D1%81%D1%82%D0%B0%20%D0%BB%D0%B5%D1%87%D0%B5%D0%B1%D0%BD%D1%8B%D0%B5%20%D1%82%D1%80%D0%B0%D0%B2%D1%8B%20(%D0%BF%D0%B0%D1%87%D0%BA%D0%B0%20+%20%D1%82%D1%8E%D0%B1%D0%B8%D0%BA%20%D0%B2%D0%BF%D1%80%D0%B0%D0%B2%D0%BE)%20line%201(1).png,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://binergia.ru/catalog/ukhod-za-polostyu-rta/denta-balance-herbal-zubnaya-pasta-lechebnye-travy/
