officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,variantCount,categoryPath,description,sourceImageUrl,imageCount,kzEvidence,status,sourcePageUrl
za-8-lt-8-shore,Zhermack,Zhermack S.p.A.,ZA 8 LT (8 Shore A),,,1,Wellbeing,,https://www.zhermack.com/public/uploads/Header_Company.jpg,1,BRAND_PRESENTED_BY_KAZAKHSTAN_DISTRIBUTORS_AT_CADEX,MANUFACTURER_REFERENCE_REQUIRED,https://www.zhermack.com/en/product/za-8-lt-8-shore/
thermosealer,Zhermack,Zhermack S.p.A.,Thermosealer,XR0150060,XR0150060,1,Dental > Dental Practice > Equipment > Solutions for hygiene,Manual thermosealing machine for sterilization rolls.,https://www.zhermack.com/public/uploads/Termosigillatrice_XR0150060.jpg,1,BRAND_PRESENTED_BY_KAZAKHSTAN_DISTRIBUTORS_AT_CADEX,KZ_SKU_EVIDENCE_REQUIRED,https://www.zhermack.com/en/product/thermosealer/
acrylic-powders,Zhermack,Zhermack S.p.A.,Acrylic powders,CI15850,CI15850,1,Wellbeing > Cosmetics > Nails stylisation products,Characterized by optimal quality for fast nail modeling. Thanks to high-quality plasticizers powder does not stick and does not pull the brush. The technology of fine grinding eliminates the formation of air bubbles and cracks. It does not crystallize and yellow. Nails are characterized by a high level of resistance to mechanical stress. The polymerized [&hellip;],https://www.zhermack.com/public/uploads/Header_Company.jpg,1,BRAND_PRESENTED_BY_KAZAKHSTAN_DISTRIBUTORS_AT_CADEX,KZ_SKU_EVIDENCE_REQUIRED,https://www.zhermack.com/en/product/acrylic-powders/
auxiliary-products,Zhermack,Zhermack S.p.A.,Auxiliary Products,,,1,Wellbeing > Cosmetics > Nails stylisation products,"Auxiliary products used in all nail stylization methods: Acid primer: Methacrylic acid-based product. Etches the natural nail plate to ensure improved adhesion of acrylic mass to natural nail surface Acid-free primer: delicate, acid free liquid for the adhesion of acrylic or gel mass to the natural nail plate Primer strong: Effectively lifts the scales of [&hellip;]",https://www.zhermack.com/public/uploads/Header_Company.jpg,1,BRAND_PRESENTED_BY_KAZAKHSTAN_DISTRIBUTORS_AT_CADEX,MANUFACTURER_REFERENCE_REQUIRED,https://www.zhermack.com/en/product/auxiliary-products/
liquids,Zhermack,Zhermack S.p.A.,Liquids,,,1,Wellbeing > Cosmetics > Nails stylisation products,"Universal liquid I: provides permanent adhesion of acrylic mass to the natural nail plate when creating nails. Thanks to the UV filters contained in the monomer, the nails do not turn yellow and do not change color under the influence of sunlight. Plasticized absorbents prevent cracking and breaking of nails. Universal liquid II: has maximum [&hellip;]",https://www.zhermack.com/public/uploads/Header_Company.jpg,1,BRAND_PRESENTED_BY_KAZAKHSTAN_DISTRIBUTORS_AT_CADEX,MANUFACTURER_REFERENCE_REQUIRED,https://www.zhermack.com/en/product/liquids/
platinum-85,Zhermack,Zhermack S.p.A.,Platinum 85,C400727,C400727 | C400725 | C400723,3,Dental > Laboratory > Model preparation > Masks > A-Silicones,"Platinum 85 is Zhermack's addition silicone designed specifically for high-precision CAD/CAM scans, with excellent dimensional stability and final results.",https://www.zhermack.com/public/uploads/Platinum85_C400725.jpg,1,BRAND_PRESENTED_BY_KAZAKHSTAN_DISTRIBUTORS_AT_CADEX,KZ_SKU_EVIDENCE_REQUIRED,https://www.zhermack.com/en/product/platinum-85/
titanium,Zhermack,Zhermack S.p.A.,Titanium,C400605,C400605 | C400611 | C400818 | C100900,4,Dental > Laboratory > Model preparation > Masks > C-Silicones,"Zetalabor and Titanium are condensation silicones with high hardness and good mechanical properties, designed for the dental laboratory. Find out more.",https://www.zhermack.com/public/uploads/Titanium_C400605_MDR.jpg,1,BRAND_PRESENTED_BY_KAZAKHSTAN_DISTRIBUTORS_AT_CADEX,KZ_SKU_EVIDENCE_REQUIRED,https://www.zhermack.com/en/product/titanium/
platinum-75-cad,Zhermack,Zhermack S.p.A.,Platinum 75 CAD,C400741,C400741,1,Dental > Laboratory > CAD/CAM solutions > Bite registration,Platinum 75 CAD is a perfect silicone for scannable occlusal keys with precise details: high durability and ease of processing for CAD/CAM systems.,https://www.zhermack.com/public/uploads/Platinum75_CAD_C400741.jpg,1,BRAND_PRESENTED_BY_KAZAKHSTAN_DISTRIBUTORS_AT_CADEX,KZ_SKU_EVIDENCE_REQUIRED,https://www.zhermack.com/en/product/platinum-75-cad/
platinum-95,Zhermack,Zhermack S.p.A.,Platinum 95,C400720,C400720 | C400700 | C400710,3,Dental > Laboratory > Model preparation > Masks > A-Silicones,"Platinum is Zhermack's high-precision addition silicone: dimensional stability in a short time, ideal for CAD/CAM systems and masks. Discover more.",https://www.zhermack.com/public/uploads/Platinum95_C400720.jpg,1,BRAND_PRESENTED_BY_KAZAKHSTAN_DISTRIBUTORS_AT_CADEX,KZ_SKU_EVIDENCE_REQUIRED,https://www.zhermack.com/en/product/platinum-95/
platinum-85-touch,Zhermack,Zhermack S.p.A.,Platinum 85 TOUCH,C400750,C400750 | C400751,2,Dental > Laboratory > Model preparation > Masks > A-Silicones,"Platinum 85 Touch is an addition silicone with high dimensional stability and short fixing times, ideal for making masks and counter-molds.",https://www.zhermack.com/public/uploads/Platinum_85_touch_C400750.jpg,1,BRAND_PRESENTED_BY_KAZAKHSTAN_DISTRIBUTORS_AT_CADEX,KZ_SKU_EVIDENCE_REQUIRED,https://www.zhermack.com/en/product/platinum-85-touch/
