officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,variantCount,categoryPath,description,sourceImageUrl,imageCount,kzEvidence,status,sourcePageUrl
DIPLOMAT-MODEL-PRO-500-700,Diplomat Dental,DIPLOMAT DENTAL s.r.o.,Model Pro 500 / 700,,,2,Стоматологические установки,"Model Pro 500 & 700 offer intuitive controls, ergonomic workspace, left-right convertibility and flexible customization for modern clinics.",https://diplomat-dental.com/wp-content/uploads/2022/05/MP500@1x.png,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://diplomat-dental.com/product/model-pro-500-700/
DIPLOMAT-MODEL-PRO-600-800,Diplomat Dental,DIPLOMAT DENTAL s.r.o.,Model Pro 600 / 800,,,2,Стоматологические установки,"Model Pro 500 & 700 are smart dental units designed to digitize daily operations. Control instruments, light and presets via the Diplomat Connect App. Convertible left/right in 30 seconds.",https://diplomat-dental.com/wp-content/uploads/2022/05/MP600@1x.png,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://diplomat-dental.com/product/model-pro-600-800/
DIPLOMAT-MODEL-ONE-100,Diplomat Dental,DIPLOMAT DENTAL s.r.o.,Model One 100,,,1,Стоматологические установки,"Model One provides ergonomic access to instruments, wide chair range, easy installation, and reliable performance for modern dental clinics",https://diplomat-dental.com/wp-content/uploads/2023/02/Diplomat_trictvrtka_36848_-1.png,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://diplomat-dental.com/product/model-one/
DIPLOMAT-MODEL-ONE-200,Diplomat Dental,DIPLOMAT DENTAL s.r.o.,Model One 200,,,1,Стоматологические установки,Model One 200 is a dental unit with a suspended chair and lifting mechanism. Reliable and ergonomic unit for practices with limited space,https://diplomat-dental.com/wp-content/uploads/2023/10/Frame-6-1.png,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://diplomat-dental.com/product/model-one-200/
DIPLOMAT-MODEL-ONE-ORTHO,Diplomat Dental,DIPLOMAT DENTAL s.r.o.,Model One Ortho,,,1,Стоматологические установки,"Designed for orthodontic professionals. Model One 100 Ortho is optimized for workflows, focusing on efficiency, comfort, and patient care",https://diplomat-dental.com/wp-content/uploads/2025/08/technical_drawing_100_ortho-1.png,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://diplomat-dental.com/product/model-one-100-ortho/
DIPLOMAT-CLASSIC-LINE,Diplomat Dental,DIPLOMAT DENTAL s.r.o.,Classic Line,,,1,Стоматологические установки,,https://diplomat-dental.com/wp-content/uploads/2022/06/ClassicLine_DA170.png,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://diplomat-dental.com/product/classic-line/
DIPLOMAT-CHAIR-PRO,Diplomat Dental,DIPLOMAT DENTAL s.r.o.,Chair Pro,,,1,Стоматологические кресла,"Discover the Chair Pro, a fully digital, ergonomic dental unit designed for dentists’ efficiency and patient comfort",https://diplomat-dental.com/wp-content/uploads/2022/06/chairpro.png,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://diplomat-dental.com/product/chair-pro/
DIPLOMAT-CART-DL210,Diplomat Dental,DIPLOMAT DENTAL s.r.o.,Cart DL210,,,1,Мобильные врачебные модули,"Discover the Dental Cart with ergonomic design, touchscreen control, and flexibility for all instruments. Perfect for efficient workflows",https://diplomat-dental.com/wp-content/uploads/2024/01/Cart-DL210-700x450-v2.png,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://diplomat-dental.com/product/cart/
DIPLOMAT-DIPLOMAT-DENTAL-STOOLS,Diplomat Dental,DIPLOMAT DENTAL s.r.o.,Diplomat Dental Stools,,,1,Стулья врача и ассистента,Professional dental stools designed for everyday use. Discover ergonomic seating solutions for dentists and assistants by Diplomat Dental,https://diplomat-dental.com/wp-content/uploads/2026/01/Untitled-design-2026-01-30T090551.064.png,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://diplomat-dental.com/product/stools/
DIPLOMAT-DIPLOMAT-DENTAL-LAMPS,Diplomat Dental,DIPLOMAT DENTAL s.r.o.,Diplomat Dental Lamps,,,1,Стоматологическое освещение,"Premium dental lamps with adjustable intensity, advanced LED technology, and ergonomic control options - ideal for modern dental clinics",https://diplomat-dental.com/wp-content/uploads/2022/06/Xenos_@1x.png,1,BRAND_OBSERVED_IN_KAZAKHSTAN_MARKET,MANUFACTURER_REFERENCE_REQUIRED,https://diplomat-dental.com/product/light/
