officialProductId,brand,manufacturer,name,manufacturerRef,manufacturerRefs,variantCount,categoryPath,description,sourceImageUrl,imageCount,kzEvidence,status,sourcePageUrl
ME10211,MELAG,MELAG Medizintechnik GmbH & Co. KG,MELAseal 100+,ME10211,ME10211,1,melaseal-100,"MELAseal 100+ is a compact bar sealer that is characterised by its performance, reliability and ease of use. After a heating time of 200 seconds, transparent sterilised packaging (e.g. MELAfol) can be securely sealed without a break. The reproducibility of the sealing time and temperature is monitored electronically and visualised via an illuminated LED display. Fast sealing processes thanks to short heating and sealing times Compact device dimensions require little space on the work line Acoustic and visual monitoring function for sealing time and temperature Simple operation: handle can be used on the right or left Maintenance-free helps to save costs",https://shopware.melag.com/media/65/1e/c4/1669296228/ME10211.png?ts=1669296228,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET_AND_CADEX,KZ_SKU_EVIDENCE_REQUIRED,https://www.melag.com/en/melaseal-100/me10211
ME10108,MELAG,MELAG Medizintechnik GmbH & Co. KG,Reel dispenser Deluxe,ME10108,ME10108,1,reel-dispenser-deluxe,The reel dispenser “Deluxe“ enables space-saving storage of the film reels over the sealing device. The integrated feeding device with a hand roll enables easy feeding of the film.,https://shopware.melag.com/media/6e/86/01/1669296361/ME10108.png?ts=1779883071,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET_AND_CADEX,KZ_SKU_EVIDENCE_REQUIRED,https://www.melag.com/en/reel-dispenser-deluxe/me10108
ME10111,MELAG,MELAG Medizintechnik GmbH & Co. KG,Reel dispenser Comfort,ME10111,ME10111,1,reel-dispenser-comfort,The reel dispenser “comfort“ enables space-saving storage of the film reels over the sealing device.,https://shopware.melag.com/media/af/ba/2d/1669296319/ME10111.png?ts=1779883096,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET_AND_CADEX,KZ_SKU_EVIDENCE_REQUIRED,https://www.melag.com/en/reel-dispenser-comfort/me10111
ME10117,MELAG,MELAG Medizintechnik GmbH & Co. KG,Reel dispenser Standard,ME10117,ME10117,1,reel-dispenser-standard,The “standard” rell dispenser is placed directly behind the sealing device and enables simple replacement of the film reel.,https://shopware.melag.com/media/66/4d/3b/1669296294/ME10117.png?ts=1779883122,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET_AND_CADEX,KZ_SKU_EVIDENCE_REQUIRED,https://www.melag.com/en/reel-dispenser-standard/me10117
ME00106,MELAG,MELAG Medizintechnik GmbH & Co. KG,Wall mounted reel dispenser,ME00106,ME00106,1,wall-mounted-reel-dispenser,"Mounted on the wall directly over the sealing device, the wall-mounted reel dispenser saves space.",https://shopware.melag.com/media/2f/07/7d/1669301405/ME00106.png?ts=1779889016,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET_AND_CADEX,KZ_SKU_EVIDENCE_REQUIRED,https://www.melag.com/en/wall-mounted-reel-dispenser/me00106
ME01072,MELAG,MELAG Medizintechnik GmbH & Co. KG,MELAcontrol Wash Check cleaning indicators,ME01072,ME01072,1,melacontrol-wash-check-cleaning-indicators,"With the MELAcontrol Wash Check for your MELAtherm washer disinfector, you can always keep an eye on the cleaning performance. The 100 wash check indicators allow you to routinely monitor the cleaning results of instruments in the base basket or on the injector rail in accordance with DIN EN ISO 15883-5. It is very easy to use: Place one wash indicator in the separately available holder for the base basket or for the injector rail. After the cycle, a visual check of the indicator enables a quick assessment of the cleaning quality in the washer disinfector. With MELAcontrol Wash Check, you can ensure that your instruments are always thoroughly cleaned - for optimum hygiene and patient protection.",https://shopware.melag.com/media/bd/6d/13/1725896106/ME01072.png?ts=1725896106,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET_AND_CADEX,KZ_SKU_EVIDENCE_REQUIRED,https://www.melag.com/en/melacontrol-wash-check-cleaning-indicators/me01072
ME80000,MELAG,MELAG Medizintechnik GmbH & Co. KG,Regenerating salt for washer disinfectors | MELAG,ME80000,ME80000,1,regeneration-salt,"The specially granulated and highly purified regenerating salt was designed for the internal softening system of the MELAtherm. The coarse grain size ensures optimum solubility, protects the thermal disinfector / washer-disinfector from limescale deposits and enables an effective cleaning outcome. Each pack contains 2 kilograms of regenerating salt. Please note: After filling the regenerating salt, it is advisable to start a short rinse program (without loading) to remove any salt residue from the washing chamber and ensure proper functioning.",https://shopware.melag.com/media/d7/91/bc/1689080417/ME80000.png?ts=1689080417,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET_AND_CADEX,KZ_SKU_EVIDENCE_REQUIRED,https://www.melag.com/en/regeneration-salt/me80000
ME10711,MELAG,MELAG Medizintechnik GmbH & Co. KG,MELAcare Lid Blue,ME10711,ME10711,1,melacare-lid-blue,"Premium Care for Rotary Instruments: The MELAcare Blue Lid is the ideal solution for cleaning, disinfecting and lubricating handpieces, contra-angles, turbines and contra-angle heads. With up to 6 individually configurable adapters, you can tailor the lid perfectly to your instruments - ensuring safe reprocessing and long-term reliable performance. Cleaning, disinfection and oiling in as little as 17 minutes for up to 6 rotating instruments (incl. internal drying and pre-cooling) ULTRAflow Technology for powerful internal and external cleaning with compressed-air-accelerated deionized water - completely chemical-free Thermal disinfection at approx. 95 °C with an A0 value of 3,000 and a broad spectrum of activity Precise oil and chuck care with fully synthetic oil for preserving value and optimal function Individually configurable with up to 6 adapters for handpieces, contra-angles, turbines, and contra-angle headsThe MELAcare Lid Blue makes the reprocessing of rotating instruments convenient, safe, and efficient. For instruments that are quickly ready for use again—and a workflow that becomes a WOWflow.",,0,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET_AND_CADEX,PHOTO_REQUIRED,https://www.melag.com/en/melacare-lid-blue/me10711
ME10712,MELAG,MELAG Medizintechnik GmbH & Co. KG,MELAcare Lid Green,ME10712,ME10712,1,melacare-lid-green,"More flexibility for instruments that do not require oiling:The MELAcare Green lid was specially developed for reprocessing hollow instruments that do not require oil care. With up to 6 individually configurable adapters, you can reprocess ultrasonic scaler tips, prophylaxis handpieces and other compatible instruments safely, efficiently between treatments. Reprocessing in just 14 minutes, including cleaning, thermal disinfection, internal drying and pre-coolingULTRAflow technology for powerful internal and external cleaning with deionised water - completely chemical-freeThermal disinfection at approx. 95 °C with an A0 value of 3,000 and a broad activity spectrum Configurable with up to 6 adapters for ultrasonic scaler tips and prophylaxis handpieces Quickly ready for use again thanks to efficient and intelligent additional cooling The MELAcare Lid Green brings maximum flexibility to the reprocessing of hollow instruments that do not require oil. For reliable results, efficient processes and a workflow that becomes a WOWflow.",,0,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET_AND_CADEX,PHOTO_REQUIRED,https://www.melag.com/en/melacare-lid-green/me10712
ME84740,MELAG,MELAG Medizintechnik GmbH & Co. KG,Care Oil,ME84740,ME84740,1,care-oil,"Runs like clockwork: rely on MELAG Care Oil to look after your valuable instruments. This fully synthetic dental oil is not only economical to use, but also guarantees optimal care for contra-angles and turbines. The 150 ml bottle is sufficient for maintaining up to 1,000 instruments. The oil can is stored in the door to save space and is perfectly tailored to the unique features of the Careclave and MELAcare, making it quick to replace.",https://shopware.melag.com/media/7e/2f/dd/1669201731/ME84740.png?ts=1669201731,1,BRAND_PRESENTED_IN_KAZAKHSTAN_DENTAL_MARKET_AND_CADEX,KZ_SKU_EVIDENCE_REQUIRED,https://www.melag.com/en/care-oil/me84740
